,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
614,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,32000,1,3
615,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,4736,1,2
616,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,1800,2,3
617,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,7000,2,25
618,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,1800,1,6
619,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,1500,1,4
620,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,2400,5,5
621,Gachibowli,,Flat,4,28000,Immediately,Bachelors,3000,5,14
622,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,1750,1,3
623,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,4300,1,1
624,Hastinapuram,,Flat,2,75000,Immediately,Bachelors,1900,3,3
625,Alwal,,Flat,2,30000,Immediately,Bachelors,1700,3,5
626,Puppalguda,,Flat,3,7000,Immediately,Bachelors/Family,1600,2,5
627,Gachibowli,,Flat,3,50000,Immediately,Bachelors,1550,2,15
628,"Kokapet, Outer Ring","Road,",Flat,2,22000,Immediately,Bachelors,1150,1,1
629,leke villa,Gandipet,Villa,5,50000,Immediately,Bachelors,400,1,3
630,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,580,3,5
631,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,1250,3,3
632,Nalagandla,,Flat,3,95000,Immediately,Family,8000,2,3
633,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,1908,2,1
634,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,3005,3,20
635,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,32000,3,2
636,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,4736,8,1
637,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,1800,8,9
638,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,7000,2,10
639,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,1800,2,28
640,Kondapur,,Flat,3,47000,Immediately,Bachelors,1500,2,3
641,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,2400,2,2
642,Khajaguda,,Villa,4,110000,Immediately,Bachelors,3000,3,3
643,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,1750,3,25
644,Pragathi,"Enclave,",Flat,3,110000,Immediately,Bachelors,4300,1,6
645,"Financial District, Nanakram","Guda,",Flat,3,75000,Immediately,Bachelors,1900,1,4
646,Izzathnagar,,Flat,4,45500,Immediately,Bachelors/Family,1700,1,5
647,"Basheer Bagh, NH","7,",Flat,2,30000,Immediately,Bachelors/Family,1600,1,14
648,Chanda,Nagar,Villa,3,50000,Immediately,Bachelors,1550,2,3
649,"Narsingi, Outer Ring","Road,",Flat,3,45000,Immediately,Bachelors/Family,1150,2,1
650,Narayanguda,,Flat,3,40000,Immediately,Bachelors/Family,400,1,3
651,Gachibowli,,Flat,4,28000,Immediately,Bachelors,580,1,5
652,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,40000,Immediately,Bachelors/Family,1250,2,5
653,Dandamudi Enclave,"Jeedimetla,",Flat,4,10000,Immediately,Bachelors,8000,2,15
